"y","N","P","lT","eT","P.dev","lT.dev","eT.dev","Lon","Lat","year","P.clim","lT.clim","eT.clim"
2,4,50.2551487049882,32.363940966107,13.6473809636614,-5.52748894841414,-0.224814154125883,1.69671113703677,1196.31293768728,-470.54294043545,1,55.7826376534023,32.5887551202329,11.9506698266246
43,45,53.2633279094569,31.707627132052,13.5334465694387,-1.70447188009283,-0.594651599939129,1.06361841048543,1341.37006023785,-555.817077474172,1,54.9677997895497,32.3022787319911,12.4698281589533
12,19,45.277497643876,31.51729425476,12.885064209453,-9.81540765010329,0.241212071099652,2.01683869591383,1305.45342239597,-375.76140317128,1,55.0929052939793,31.2760821836603,10.8682255135392
13,13,43.8894007162159,31.6946966532849,12.1267863680906,-9.21236365335414,-0.208499677138842,0.829660698055954,1367.35818164854,-462.319919991483,1,53.10176436957,31.9031963304238,11.2971256700346
14,25,42.5459286441942,31.5523952961493,11.9035522060063,-13.6384607566052,0.256931223209445,1.56669286818899,1316.18985244179,-324.197635632608,1,56.1843894007993,31.2954640729398,10.3368593378174
9,14,63.6056066545779,32.2342552183934,14.1518495904304,4.51048720326168,-0.467716608936464,1.27988485202928,1148.55644131904,-628.797724362646,1,59.0951194513162,32.7019718273299,12.8719647384011
26,28,47.0849238295407,31.1626642991367,12.4044196852505,-9.72231884113078,0.192513589642234,1.66343271453515,1310.58927469651,-428.72954525743,1,56.8072426706715,30.9701507094945,10.7409869707154
11,12,70.5877561863446,31.9083880268273,14.846801986532,5.12834728929833,-0.503959655297904,1.67827149701101,1230.22849256416,-648.649231563807,1,65.4594088970463,32.4123476821252,13.168530489521
8,12,57.8735070154113,32.0277760037085,14.0455345528382,-1.02674499203629,-0.487704599796072,1.34876269452945,1292.76947726876,-606.710415131486,1,58.9002520074476,32.5154806035046,12.6967718583088
20,28,44.3900713279317,30.1534707317478,12.1303365692812,-11.0889162115205,0.18512861091726,1.93422258796783,1295.78473996592,-296.259781789036,1,55.4789875394522,29.9683421208306,10.1961139813133
7,12,44.1034300579408,31.7349214279308,12.9715878608685,-12.2655607623108,0.457342190012315,1.85741756925507,1281.6093341404,-348.12073698529,1,56.3689908202516,31.2775792379185,11.1141702916135
16,18,46.4365699328905,30.5210683762405,12.045286732811,-10.9367564556444,0.142852204772781,1.80147613458244,1277.59465469644,-265.567884872449,1,57.3733263885348,30.3782161714677,10.2438105982286
7,8,49.9643907132065,31.9238489245939,12.4028852306525,-9.72326593467492,0.617410249458801,1.29875616884977,1126.51083457029,-273.238511636158,1,59.6876566478814,31.3064386751351,11.1041290618028
14,30,50.118457343285,31.457069046088,12.7519667124009,-8.2470633055722,0.388513155362504,1.14062818339111,1158.48713349356,-305.250437187365,1,58.3655206488572,31.0685558907255,11.6113385290098
13,16,44.9623582909934,31.7051696386374,13.3226619783924,-7.47898823659737,-0.305141128223092,1.116332251494,1368.19462263187,-494.238027124337,1,52.4413465275908,32.0103107668605,12.2063297268984
31,33,46.9581336427573,31.8917370719779,12.9294878217938,-9.92434508111165,0.668750016618314,1.65989318220954,1184.36340528003,-273.197887417889,1,56.882478723869,31.2229870553596,11.2695946395842
41,54,41.3781263454059,31.5563608014157,12.513158719144,-15.4642924810818,0.42681836280426,1.61260104588913,1220.36100489443,-276.747822351234,1,56.8424188264877,31.1295424386114,10.9005576732548
10,14,52.7322916329687,31.6275176789232,11.7177235003752,-8.37404147778765,0.0790358442398965,0.430265644807034,1112.25062774647,-360.636903934889,1,61.1063331107564,31.5484818346833,11.2874578555682
26,31,44.6172454492175,31.0345794026851,13.3489583725122,-10.7378600882395,0.0657104184707796,1.96105902885675,1253.51880269573,-317.183244588512,1,55.355105537457,30.9688689842144,11.3878993436554
15,16,64.6679580042451,31.9594624802217,14.5418573044422,3.58281267373342,-0.486623252154278,1.53406644043896,1194.78468621758,-637.670286346038,1,61.0851453305117,32.446085732376,13.0077908640033
29,36,48.2702240716831,31.5016642221304,13.0735737170428,-9.25608172048512,0.347039479026718,1.62257445471041,1193.84193686761,-305.719637495681,1,57.5263057921683,31.1546247431037,11.4509992623323
0,1,50.3834233564871,32.083963473203,13.7353903464683,-4.93219414118182,-0.422530855631057,1.41070850022998,1104.21714968217,-456.305384404522,1,55.315617497669,32.5064943288341,12.3246818462383
17,21,55.9752219491435,31.8521589342539,14.3024624800004,-1.53709475045787,-0.530714199857418,1.3576851465264,1324.39506961739,-592.872393920589,1,57.5123166996014,32.3828731341113,12.944777333474
10,11,51.8473907420203,31.7824645852352,13.198639650763,-5.3114269693231,0.210895309237175,2.0663763622512,1259.94325757553,-390.936808607859,1,57.1588177113434,31.571569275998,11.1322632885118
21,22,51.4274406424891,32.1345723203366,13.2426479018809,-4.39547571286372,0.111741583751767,2.07515752647649,1278.28694642676,-421.945775087463,1,55.8229163553528,32.0228307365849,11.1674903754044
10,11,47.1462909164828,32.5508359619781,13.9186142061916,-8.76834265530331,-0.0316640976062904,1.88556797315568,1157.8409507942,-453.709941490302,1,55.9146335717861,32.5825000595844,12.033046233036
25,58,15.7898023280733,33.8504536067594,9.55996934051848,-3.89365427662597,0.79766914814283,1.55444306506468,-935.574526811131,-646.430519646998,1,19.6834566046993,33.0527844586166,8.0055262754538
2,8,13.8182747922342,34.0762564466173,9.63925070223463,-2.83280609801354,0.666629509481598,2.15288211540822,-915.482943709614,-523.778607053839,1,16.6510808902477,33.4096269371357,7.48636858682642
17,20,7.13098455668994,40.1360244983121,15.0077116026123,1.9105068132896,-0.00260791270262721,1.16263296648284,-1291.04273052186,-364.202428871184,1,5.22047774340035,40.1386324110147,13.8450786361295
225,352,8.47683243175413,39.3485461713152,14.9727569154739,1.08630624049655,0.0845304860176223,1.40255421430584,-1117.55640046684,-429.846007738505,1,7.39052619125758,39.2640156852976,13.570202701168
10,14,11.4848208536574,35.2731648832101,10.7327859389422,2.88508101396101,0.0604323141190272,1.38922164858812,-1271.92085060937,-206.503227365488,1,8.59973983969638,35.2127325690911,9.3435642903541
43,106,13.9012152314866,37.3161765159775,12.642499408792,-0.539999572675208,-0.0442590405038907,0.754133233235717,-1041.69559803651,-586.827618612447,1,14.4412148041618,37.3604355564814,11.8883661755563
72,100,11.8329739925343,38.3359021271856,13.9286929386314,0.703272260227437,0.281111484571136,1.21727754276096,-1070.08954006733,-495.153016171308,1,11.1297017323069,38.0547906426144,12.7114153958705
81,117,4.88329695399494,40.6326851201825,15.1378046558752,1.31547584581251,0.107403872866196,0.874445832688284,-1340.96068259385,-489.706437596709,1,3.56782110818243,40.5252812473163,14.2633588231869
999,999,38.9333376765406,32.8360610790938,15.5388317039029,-10.3259896855189,0.371179959368128,1.93258055228146,785.607744192127,-369.176926109848,1,49.2593273620595,32.4648811197256,13.6062511516214
7,8,24.7947618233266,33.8246044932023,11.9953880936079,-24.6533307112932,2.33463057473657,2.1107460694659,684.070495612546,-159.791611413769,1,49.4480925346198,31.4899739184658,9.88464202414205
27,29,27.3486712171435,33.9910112752435,12.8175306334526,-27.0581127078792,3.05972719113185,2.75125884388636,514.812843383973,-167.224513737309,1,54.4067839250227,30.9312840841116,10.0662717895663
25,30,51.2249425397594,33.4662061982727,15.7059979518773,-0.589019884890538,0.257413054723215,1.71092388622304,806.704490595938,-484.711324676703,1,51.8139624246499,33.2087931435494,13.9950740656542
31,50,27.5418657787755,33.0317759439326,14.538553177851,-25.6290887577884,0.898863795524802,1.59279133220589,881.929120290318,-266.092811504281,1,53.1709545365639,32.1329121484078,12.9457618456451
11,20,44.5189552076907,32.717509288977,15.6377405428698,-4.54001829751617,0.0958546240215612,1.81613590157646,798.337088117395,-431.80090814745,1,49.0589735052068,32.6216546649555,13.8216046412934
28,29,24.7833457215171,35.1340682206406,13.9607545597115,-25.2857284454652,2.53646881098641,1.78156195553966,692.225164198919,-292.341138277193,1,50.0690741669823,32.5975994096542,12.1791926041718
10,16,27.1783444829674,33.181397532128,14.3579981230166,-22.4222057902736,0.882153531675561,1.77765521785074,791.567820107832,-228.49248495806,1,49.6005502732411,32.2992440004524,12.5803429051659
44,53,24.7936156517479,32.8853601528982,14.6485533934951,-26.060078288613,0.89589254019305,2.00983729760538,896.843099488208,-196.294492390253,1,50.853693940361,31.9894676127052,12.6387160958897
5,7,33.9646065735109,32.9542197504727,15.3041658194324,-15.9572699952926,0.609139430011179,1.95374208797253,802.151138170168,-325.969411565099,1,49.9218765688035,32.3450803204615,13.3504237314598
28,30,26.1069699456574,34.897605876541,13.5594056080064,-27.1035738965197,3.05874402998721,2.41649076924018,626.733642578538,-273.843622518701,1,53.2105438421771,31.8388618465538,11.1429148387662
4,4,31.5163486593708,33.5684027018503,15.2654596827799,-17.2614255982651,1.11351587346774,1.93670819807208,771.780100191422,-320.349620362896,1,48.7777742576358,32.4548868283825,13.3287514847078
56,66,28.9916859225261,34.5941285456993,14.6856155087702,-21.4178943488493,1.99393366936656,1.93184223312239,703.047246043104,-330.873738146346,1,50.4095802713754,32.6001948763328,12.7537732756478
11,22,27.1251830081796,33.2439805441796,14.7241289981366,-25.21128797201,1.14698909966351,1.67966331652832,844.498691198572,-290.238513561256,1,52.3364709801896,32.0969914445161,13.0444656816083
